id,smiles,pIC50,source,label,target,splits
CHEMBL93558,N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,3.6635402661514704,ChEMBL,inactive,1,train
CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,4.3872161432802645,ChEMBL,inactive,1,train
CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,4.823908740944319,ChEMBL,inactive,1,train
CHEMBL328655,S=C(C1CCCN1)N1CCCC1,3.3010299956639813,ChEMBL,inactive,1,train
CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,3.72584215073632,ChEMBL,inactive,1,train
CHEMBL97674,NCCCCC(N)C(=O)N1CCCCC1,3.607303046740334,ChEMBL,inactive,1,train
CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,4.853871964321762,ChEMBL,inactive,1,train
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,5.3979400086720375,ChEMBL,inactive,1,test
CHEMBL93505,NCC[C@H](N)C(=O)N1CCCCC1,3.0,ChEMBL,inactive,1,train
CHEMBL329171,NCCCC(N)C(=O)N1CCCCC1,3.3010299956639813,ChEMBL,inactive,1,test
CHEMBL94955,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,3.869988050328096,ChEMBL,inactive,1,train
CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,3.6716203965612624,ChEMBL,inactive,1,train
CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,4.769551078621726,ChEMBL,inactive,1,train
CHEMBL97025,NCC(=O)N1CCCC1,3.0,ChEMBL,inactive,1,train
CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,4.6343248595440825,ChEMBL,inactive,1,train
CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,4.173925197299173,ChEMBL,inactive,1,train
CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,4.6777807052660805,ChEMBL,inactive,1,train
CHEMBL97064,NC(CO)C(=O)N1CCCC1,3.721246399047171,ChEMBL,inactive,1,train
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,5.3979400086720375,ChEMBL,inactive,1,test
CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,3.913640169325252,ChEMBL,inactive,1,train
CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,4.4089353929735005,ChEMBL,inactive,1,train
CHEMBL317537,NC[C@H](N)C(=O)N1CCCCC1,3.0,ChEMBL,inactive,1,test
CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,3.9355420107730814,ChEMBL,inactive,1,train
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,7.958607314841775,ChEMBL,active,0,train
CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,4.769551078621726,ChEMBL,inactive,1,train
CHEMBL66189,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,4.522878745280337,ChEMBL,inactive,1,test
CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,7.602059991327962,ChEMBL,active,0,test
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,7.585026652029182,ChEMBL,active,0,train
CHEMBL63860,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,7.823908740944319,ChEMBL,active,0,train
CHEMBL67089,NCC(=O)N1CCC[C@H]1B(O)O,4.795880017344075,ChEMBL,inactive,1,test
