Name,smiles,standard_value,standard_type,Source,classes,pIC50
CHEMBL93558,N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,217000.0,IC50,ChEMBL,0,3.6635402661514704
CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,41000.0,IC50,ChEMBL,0,4.3872161432802645
CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,15000.0,IC50,ChEMBL,0,4.823908740944319
CHEMBL328655,S=C(C1CCCN1)N1CCCC1,500000.0,IC50,ChEMBL,0,3.3010299956639813
CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,188000.0,IC50,ChEMBL,0,3.72584215073632
CHEMBL97674,NCCCCC(N)C(=O)N1CCCCC1,247000.0,IC50,ChEMBL,0,3.607303046740334
CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,14000.0,IC50,ChEMBL,0,4.853871964321762
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,4000.0,IC50,ChEMBL,2,5.3979400086720375
CHEMBL93505,NCC[C@H](N)C(=O)N1CCCCC1,1000000.0,IC50,ChEMBL,0,3.0
CHEMBL329171,NCCCC(N)C(=O)N1CCCCC1,500000.0,IC50,ChEMBL,0,3.3010299956639813
CHEMBL94955,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,134900.0,IC50,ChEMBL,0,3.8699880503280957
CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,213000.0,IC50,ChEMBL,0,3.6716203965612624
CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,17000.0,IC50,ChEMBL,0,4.769551078621726
CHEMBL97025,NCC(=O)N1CCCC1,1000000.0,IC50,ChEMBL,0,3.0
CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,23210.0,IC50,ChEMBL,0,4.6343248595440825
CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,67000.0,IC50,ChEMBL,0,4.173925197299173
CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,21000.0,IC50,ChEMBL,0,4.6777807052660805
CHEMBL97064,NC(CO)C(=O)N1CCCC1,190000.0,IC50,ChEMBL,0,3.721246399047171
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,4000.0,IC50,ChEMBL,2,5.3979400086720375
CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,122000.0,IC50,ChEMBL,0,3.9136401693252516
CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,39000.0,IC50,ChEMBL,0,4.4089353929735005
CHEMBL317537,NC[C@H](N)C(=O)N1CCCCC1,1000000.0,IC50,ChEMBL,0,3.0
CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,116000.0,IC50,ChEMBL,0,3.9355420107730814
CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,190.0,IC50,ChEMBL,1,6.721246399047171
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,11.0,IC50,ChEMBL,1,7.958607314841775
CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,95.0,IC50,ChEMBL,1,7.022276394711152
CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,17000.0,IC50,ChEMBL,0,4.769551078621726
CHEMBL292342,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,250.0,IC50,ChEMBL,1,6.6020599913279625
CHEMBL63698,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,44.0,IC50,ChEMBL,1,7.356547323513812
CHEMBL291428,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,63.0,IC50,ChEMBL,1,7.200659450546418
CHEMBL66189,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,30000.0,IC50,ChEMBL,0,4.522878745280337
CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,25.0,IC50,ChEMBL,1,7.6020599913279625
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,26.0,IC50,ChEMBL,1,7.585026652029182
CHEMBL63860,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,15.0,IC50,ChEMBL,1,7.823908740944319
CHEMBL67089,NCC(=O)N1CCC[C@H]1B(O)O,16000.0,IC50,ChEMBL,0,4.795880017344075
CHEMBL65406,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,4000.0,IC50,ChEMBL,2,5.3979400086720375
CHEMBL304007,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,32.0,IC50,ChEMBL,1,7.494850021680094
CHEMBL63652,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,70.0,IC50,ChEMBL,1,7.154901959985743
CHEMBL63406,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,60.0,IC50,ChEMBL,1,7.221848749616356
CHEMBL63895,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,20.0,IC50,ChEMBL,1,7.698970004336019
CHEMBL276884,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(OCC(F)(F)F)OCC(F)(F)F,9100000.0,IC50,ChEMBL,0,2.040958607678906
CHEMBL1182947,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,32000.0,IC50,ChEMBL,0,4.494850021680094
CHEMBL273694,Cl.O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,10000.0,IC50,ChEMBL,0,5.0
CHEMBL265344,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,400.0,IC50,ChEMBL,1,6.3979400086720375
CHEMBL9237,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1.Cl,47000.0,IC50,ChEMBL,0,4.327902142064283
CHEMBL9724,Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,31000.0,IC50,ChEMBL,0,4.508638306165727
CHEMBL9561,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,22000.0,IC50,ChEMBL,0,4.657577319177793
CHEMBL9238,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,36.0,IC50,ChEMBL,1,7.443697499232712
CHEMBL9512,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,500.0,IC50,ChEMBL,1,6.301029995663981
CHEMBL269209,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,600.0,IC50,ChEMBL,1,6.221848749616356
CHEMBL273851,Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,5000.0,IC50,ChEMBL,2,5.301029995663981
CHEMBL268012,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,1800000.0,IC50,ChEMBL,0,2.744727494896694
CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,30.0,IC50,ChEMBL,1,7.522878745280337
